a,Cx,Cy,Cn,Ck,,,a,Cx,Cy,Cn,Ck
0,-0.64711,0,0,0,,,0,-0.64711,0,0,0
20,-0.670803,0.359396,0.068299,0.28496,,,20,-0.670803,0.359396,0.68299,0.28496
40,-0.57262,0.753804,0.105182,0.560053,,,40,-0.57262,0.753804,1.05182,0.560053
60,-0.277046,0.981451,0.093885,0.705768,,,60,-0.277046,0.981451,0.93885,0.705768
80,-0.058992,0.990074,0.040083,0.707466,,,80,-0.058992,0.990074,0.40083,0.707466
100,0.029721,0.990074,-0.030831,0.699678,,,100,0.029721,0.990074,-0.30831,0.699678
120,0.247774,0.981451,-0.085676,0.686047,,,120,0.247774,0.981451,-0.85676,0.686047
140,0.543348,0.753804,-0.099007,0.537628,,,140,0.543348,0.753804,-0.99007,0.537628
160,0.641532,0.359396,-0.064976,0.270323,,,160,0.641532,0.359396,-0.64976,0.270323
180,0.617838,0,0,0,,,180,0.617838,0,0,0
